Date,Close,Growth
11/8/2016,11.2,0
11/9/2016,11.5,0.026785714
11/10/2016,11.75,0.049107143
11/11/2016,12.25,0.09375
11/14/2016,12.45,0.111607143
11/15/2016,12.25,0.09375
11/16/2016,12.2,0.089285714
11/17/2016,12.3,0.098214286
11/18/2016,12.45,0.111607143
11/21/2016,12.45,0.111607143
11/22/2016,12.65,0.129464286
11/23/2016,12.85,0.147321429
11/25/2016,12.85,0.147321429
11/28/2016,12.9,0.151785714
11/29/2016,12.85,0.147321429
11/30/2016,13,0.160714286
12/1/2016,12.95,0.15625
12/2/2016,12.8,0.142857143
12/5/2016,13.2,0.178571429
12/6/2016,13.15,0.174107143
12/7/2016,13.4,0.196428571
12/8/2016,13.95,0.245535714
12/9/2016,14.1,0.258928571
12/12/2016,13.8,0.232142857
12/13/2016,13.6,0.214285714
12/14/2016,13.45,0.200892857
12/15/2016,13.5,0.205357143
12/16/2016,13.6,0.214285714
12/19/2016,13.65,0.21875
12/20/2016,13.65,0.21875
12/21/2016,13.55,0.209821429
12/22/2016,13.55,0.209821429
12/23/2016,13.6,0.214285714
12/27/2016,13.65,0.21875
12/28/2016,13.45,0.200892857
12/29/2016,13.4,0.196428571
12/30/2016,13.3,0.1875
1/3/2017,13.45,0.200892857
1/4/2017,13.7,0.223214286
1/5/2017,13.6,0.214285714
1/6/2017,13.5,0.205357143
1/9/2017,13.4,0.196428571
1/10/2017,13.55,0.209821429
1/11/2017,13.6,0.214285714
1/12/2017,13.5,0.205357143
1/13/2017,13.6,0.214285714
1/17/2017,13.5,0.205357143
1/18/2017,13.55,0.209821429
1/19/2017,13.35,0.191964286
1/20/2017,13.35,0.191964286
1/23/2017,13.05,0.165178571
1/24/2017,13.1,0.169642857
1/25/2017,13.3,0.1875
1/26/2017,13.3,0.1875
1/27/2017,13.35,0.191964286
1/30/2017,13.3,0.1875
1/31/2017,13.5,0.205357143
2/1/2017,13.55,0.209821429
2/2/2017,13.55,0.209821429
2/3/2017,14.35,0.28125
2/6/2017,14.55,0.299107143
2/7/2017,14.65,0.308035714
2/8/2017,14.8,0.321428571
2/9/2017,14.75,0.316964286
2/10/2017,15.45,0.379464286
2/13/2017,16.25,0.450892857
2/14/2017,15.85,0.415178571
2/15/2017,15.95,0.424107143
2/16/2017,15.65,0.397321429
2/17/2017,15.45,0.379464286
2/21/2017,15.5,0.383928571
2/22/2017,15.05,0.34375
2/23/2017,14.75,0.316964286
2/24/2017,14.85,0.325892857
2/27/2017,14.8,0.321428571
